net_profit,current_assets,total_inventory,proprtor_capt_reserves,total_debt,capital_allowance,installment_tax_paid,tax_payable_IT,sales_exempt,output_VAT,input_VAT,VAT_payable,less_crdt_bal_prv_mnth,WVAT - credit,VAT_advance_paid,paye_payable,current_ratio,quick_ratio,Gearing_ratio,total_liabilities,payment_time
5004,167610171.3,15326245,65837616,0,1831818.08,289658.75,1655427.9,329935.625,63027825.07,33210906.12,8057647.47,0,2190217,330826.6063,7830261.319,1.416096991,1.286609327,0,118360657.8,1
-8317999.75,167610171.3,15326245,66261067.99,82970981.25,5292318.225,289658.75,363759.13,329935.625,63027825.07,33210906.12,9093209.121,3744461.33,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,1.252182975,201331639,1
-2382417.03,3201155,1176730,-9510562.81,16161753.81,1645677.45,0,1801.12,1550,2498999.63,2045036.43,-1951842.01,2288731.21,117074,0,0,0.878994102,0.555879873,-1.699347781,19803592.81,1
949253.99,124489242,15326245,1912356.99,46833007.01,44875,0,283986.65,3500,19318825.34,18952532.94,-6367670.829,7877323.808,0,0,475477.35,1.631791273,1.430896542,24.48967805,123122937,0
-1519689,69487820,3310601,13500731,832094,812419.05,0,159532,20421.05,16330864.63,15199289.23,106494.9,1025080.5,0,0,1005703,0.85403075,0.813342252,0.061633255,82196635,1
12203754.25,167610171.3,15326245,66261067.99,0,5292318.225,289658.75,3892104.498,0,63027825.07,33210906.12,9093209.121,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,0,118360657.8,1
-6244.2,0,0,600000,2900000,0,0,49126.74,0,4735762.1,4907565.76,-2933040.55,2702909.89,58327,0,0,0,0,4.833333333,2900000,0
-8317999.75,73101806,15326245,-12844399,8164123,3145686.57,60000,0,0,8746722.7,7866688.33,-6367670.829,7877323.808,217660,103822,522422.35,0.617619126,0.488131463,-0.635617361,126524780.8,1
12203754.25,167610171.3,15326245,66261067.99,82970981.25,5292318.225,289658.75,3892104.498,0,63027825.07,33210906.12,-6367670.829,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,1.252182975,201331639,1
-8317999.75,167610171.3,15326245,66261067.99,82970981.25,5292318.225,289658.75,3892104.498,329935.625,63027825.07,33210906.12,9093209.121,1619531.2,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,1.252182975,201331639,1
-8317999.75,167610171.3,15326245,66261067.99,82970981.25,1025791.9,0,0,329935.625,21652345.53,11113410.37,-6367670.829,7877323.808,2040649,0,7830261.319,1.416096991,1.286609327,1.252182975,201331639,0
476780,1008723,113455,66231409,0,0,0,142162.2,0,1657790.72,280820.56,1376970.16,0,0,0,359446.75,4.852242554,4.306491957,0,207888,1
12203754.25,167610171.3,15326245,-39756640.79,82970981.25,5292318.225,0,3892104.498,329935.625,17887148.33,0,9093209.121,500,19168,0,7830261.319,1.416096991,1.286609327,-2.086971625,201331639,1
12203754.25,167610171.3,0,66261067.99,82970981.25,5292318.225,289658.75,3892104.498,0,57088994.17,11882360.58,9093209.121,7877323.808,3289713.125,0,7830261.319,1.416096991,1.416096991,1.252182975,201331639,1
12203754.25,167610171.3,15326245,66261067.99,67466463,5292318.225,289658.75,3892104.498,0,53046944.41,28692802.56,2189479.3,7877323.808,3289713.125,330826.6063,7830261.319,1.640753291,1.490723094,1.018191603,169620865,1
12203754.25,167610171.3,15326245,59798490,82943129,1254932.48,289658.75,3892104.498,329935.625,63027825.07,33210906.12,9093209.121,0,3289713.125,330826.6063,7830261.319,1.432331986,1.301359797,1.38704387,199962209,1
4191565,102996956,15326245,15989051,0,937544.28,289658.75,1121081.45,0,51555372.3,33210906.12,-6302180,7518983.82,230881,191624.26,1935306.7,1.139476663,0.969919239,0,90389702,1
12203754.25,167610171.3,15326245,66261067.99,82970981.25,5292318.225,289658.75,3892104.498,329935.625,63027825.07,33210906.12,9093209.121,3417253.25,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,1.252182975,201331639,1
12203754.25,167610171.3,15326245,66261067.99,0,3491163.45,289658.75,3892104.498,329935.625,63027825.07,33210906.12,-6367670.829,7877323.808,3289713.125,0,7830261.319,1.416096991,1.286609327,0,118360657.8,1
-8317999.75,167610171.3,15326245,17358480,82970981.25,92326.11,0,3892104.498,329935.625,63027825.07,33210906.12,9093209.121,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,4.779852916,201331639,1
-8317999.75,167610171.3,0,66261067.99,82970981.25,5292318.225,289658.75,3892104.498,0,51913759.02,11906074.15,9093209.121,0,1969793,330826.6063,7830261.319,1.416096991,1.416096991,1.252182975,201331639,1
-8317999.75,129397608,0,-39756640.79,82970981.25,5292318.225,0,223831.2,329935.625,63027825.07,30448225.67,7791918.84,7877323.808,3289713.125,330826.6063,7830261.319,1.09324847,1.09324847,-2.086971625,201331639,1
12203754.25,167610171.3,15326245,66261067.99,16558000,5292318.225,289658.75,3892104.498,329935.625,63027825.07,33210906.12,9093209.121,0,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,0.249890328,134918657.8,1
0,0,0,0,0,0,0,0,0,63027825.07,0,9093209.121,0,3289713.125,330826.6063,7830261.319,0,0,0,0,1
-8317999.75,111555859,1325573,66261067.99,82970981.25,204738.25,289658.75,1907162.4,329935.625,1349127.25,151067,981683.81,179682.44,36694,0,1021799,0.942507934,0.931308495,1.252182975,201331639,1
12203754.25,167610171.3,0,66261067.99,82970981.25,5292318.225,289658.75,3892104.498,329935.625,63027825.07,10950774.63,9093209.121,5485679.39,3289713.125,330826.6063,7830261.319,1.416096991,1.416096991,1.252182975,201331639,1
